"alias","treatment_name","culture","starch_g_per_kg","tuber_FW_kg_per_plant","starch_yield_g_per_plant"
"AR196","drought stress","72292",176.230366666667,0.214853333333333,37.9372023076667
"AR196","drought stress","72396",207.9378,0.4396,91.41447432
"AR196","drought stress","72482",185.0296187435,0.933,172.480997761368
"AR197","control","72247",254.333333333333,1.279,325.049333333333
"AR197","control","72275",209,1.04413333333333,219.0964
"AR197","control","72292",190.864566666667,0.394685,75.2944179446667
"AR197","control","72396",220.4814,1.0608,234.19607792
"AR197","control","72482",201.1307290755,1.094,220.06687297566
"AR197","drought stress","72247",225.5,0.512666666666667,115.382
"AR197","drought stress","72275",171,0.337466666666667,58.3881333333333
"AR197","drought stress","72292",187.86804,0.207238,38.6122949296
"AR197","drought stress","72396",223.6173,0.4546,101.80506624
"AR197","drought stress","72482",188.2415127755,0.825,156.002570448538
"AR200","control","72247",229.833333333333,1.40333333333333,321.772666666667
"AR200","control","72275",200.666666666667,1.3108,263.208533333333
"AR200","control","72292",183.8959,0.391253333333333,71.9099220423333
"AR200","control","72396",203.7566,0.904,183.95262056
"AR200","control","72482",183.389348578,1.37,251.353637425076
"AR200","drought stress","72247",193.5,0.389,74.8966666666667
"AR200","drought stress","72275",170,0.252933333333333,42.9338666666667
"AR200","drought stress","72292",165.428933333333,0.217398333333333,36.17164995
"AR200","drought stress","72396",215.2549,0.4718,101.75775036
"AR200","drought stress","72482",192.702310627,1.042,200.894608926856
"AR201","control","72247",200.666666666667,1.35933333333333,272.737
"AR201","control","72275",189.333333333333,0.874666666666667,166.007066666667
"AR201","control","72292",171.3523,0.362618333333333,62.0968912206667
"AR201","control","72396",184.9412,0.7842,144.47771628
"AR201","control","72482",184.3952162725,0.958,176.520979270744
"AR201","drought stress","72247",199,0.845333333333333,167.956
"AR201","drought stress","72275",153.333333333333,0.2572,39.81
"AR201","drought stress","72292",157.7634,0.2408125,37.9027259635
"AR201","drought stress","72396",207.9378,0.4074,85.08389592
"AR201","drought stress","72482",192.48397701,0.687,132.21675432732
"AR202","control","72247",209.833333333333,1.42866666666667,300.649666666667
"AR202","control","72275",203,1.11746666666667,225.507866666667
"AR202","control","72292",164.0352,0.418148333333333,68.393724207
"AR202","control","72396",214.2096,1.3995,300.42794034
"AR202","control","72482",183.742131038,1.154,212.32552039845
"AR202","drought stress","72247",192.833333333333,0.679,130.896666666667
"AR202","drought stress","72275",184.333333333333,0.324133333333333,59.7649333333333
"AR202","drought stress","72292",175.881933333333,0.233008333333333,40.9783103753333
"AR202","drought stress","72396",236.1609,0.6962,164.02950288
"AR202","drought stress","72482",197.4734069835,1.002,197.71189220832
"AR21","control","72247",220.333333333333,0.828333333333333,183.225666666667
"AR21","control","72275",202.333333333333,0.253466666666667,51.2929333333333
"AR21","control","72292",189.470833333333,0.328075,61.8619962093333
"AR21","control","72396",208.9831,0.5382,113.24299992
"AR21","control","72482",202.464656746,0.261,52.291955575143
"AR21","drought stress","72247",200.333333333333,0.539666666666667,107.280333333333
"AR21","drought stress","72275",174.665,0.0574,10.068268
"AR21","drought stress","72292",172.3976,0.22104,38.0857933016667
"AR21","drought stress","72396",189.1224,0.1671,31.59963526
"AR21","drought stress","72482",190.9498672075,0.255,48.787383048537
"AR23","control","72247",198.5,1.492,295.587
