"alias","culture","plant_id","line_id","name","treatment","treatment_name","population","SP1","SP2","SP3","SP","tuber_FW_kg_per_plot","tuber_FW_kg_per_plant","starch_g_per_kg","starch_yield_g_per_plant","starch_yield_g_per_plot"
"AR56","76240",1771119,899519,"{[St.Albatros.n].25-[St.Ramses.n].9}.56/001",170,"drought stress","AR","","yes","","SP2",0.456,0.456,225,102.6,102.6
"AR56","76240",1771120,899519,"{[St.Albatros.n].25-[St.Ramses.n].9}.56/001",170,"drought stress","AR","","yes","","SP2",0.43,0.43,228,98.04,98.04
"AR56","76240",1771121,899519,"{[St.Albatros.n].25-[St.Ramses.n].9}.56/001",170,"drought stress","AR","","yes","","SP2",0.396,0.396,221,87.516,87.516
"AR56","76240",1771122,899519,"{[St.Albatros.n].25-[St.Ramses.n].9}.56/001",170,"drought stress","AR","","yes","","SP2",0.43,0.43,218,93.74,93.74
"AR56","76240",1771123,899519,"{[St.Albatros.n].25-[St.Ramses.n].9}.56/001",170,"drought stress","AR","","yes","","SP2",0.504,0.504,220,110.88,110.88
"AR56","76240",1771124,899519,"{[St.Albatros.n].25-[St.Ramses.n].9}.56/001",170,"drought stress","AR","","yes","","SP2",0.396,0.396,219,86.724,86.724
"AR56","76240",1771125,899519,"{[St.Albatros.n].25-[St.Ramses.n].9}.56/001",169,"control","AR","","yes","","SP2",0.83,0.83,228,189.24,189.24
"AR56","76240",1771126,899519,"{[St.Albatros.n].25-[St.Ramses.n].9}.56/001",169,"control","AR","","yes","","SP2",0.822,0.822,218,179.196,179.196
"AR56","76240",1771127,899519,"{[St.Albatros.n].25-[St.Ramses.n].9}.56/001",169,"control","AR","","yes","","SP2",0.9,0.9,222,199.8,199.8
"AR56","76240",1771128,899519,"{[St.Albatros.n].25-[St.Ramses.n].9}.56/001",169,"control","AR","","yes","","SP2",0.782,0.782,218,170.476,170.476
"AR56","76240",1771129,899519,"{[St.Albatros.n].25-[St.Ramses.n].9}.56/001",169,"control","AR","","yes","","SP2",1.018,1.018,227,231.086,231.086
"AR56","76240",1771130,899519,"{[St.Albatros.n].25-[St.Ramses.n].9}.56/001",169,"control","AR","","yes","","SP2",0.608,0.608,215,130.72,130.72
"AR55","76240",1771131,899518,"{[St.Albatros.n].25-[St.Ramses.n].9}.55/001",170,"drought stress","AR","","","yes","SP3",0.226,0.226,293,66.218,66.218
"AR55","76240",1771132,899518,"{[St.Albatros.n].25-[St.Ramses.n].9}.55/001",170,"drought stress","AR","","","yes","SP3",0.32,0.32,259,82.88,82.88
"AR55","76240",1771133,899518,"{[St.Albatros.n].25-[St.Ramses.n].9}.55/001",170,"drought stress","AR","","","yes","SP3",0.148,0.148,241,35.668,35.668
"AR55","76240",1771134,899518,"{[St.Albatros.n].25-[St.Ramses.n].9}.55/001",170,"drought stress","AR","","","yes","SP3",0.308,0.308,196,60.368,60.368
"AR55","76240",1771135,899518,"{[St.Albatros.n].25-[St.Ramses.n].9}.55/001",170,"drought stress","AR","","","yes","SP3",0.292,0.292,213,62.196,62.196
"AR55","76240",1771136,899518,"{[St.Albatros.n].25-[St.Ramses.n].9}.55/001",170,"drought stress","AR","","","yes","SP3",0.046,0.046,223,10.258,10.258
"AR55","76240",1771137,899518,"{[St.Albatros.n].25-[St.Ramses.n].9}.55/001",169,"control","AR","","","yes","SP3",0.704,0.704,194,136.576,136.576
"AR55","76240",1771138,899518,"{[St.Albatros.n].25-[St.Ramses.n].9}.55/001",169,"control","AR","","","yes","SP3",0.806,0.806,231,186.186,186.186
"AR55","76240",1771139,899518,"{[St.Albatros.n].25-[St.Ramses.n].9}.55/001",169,"control","AR","","","yes","SP3",0.71,0.71,224,159.04,159.04
"AR55","76240",1771140,899518,"{[St.Albatros.n].25-[St.Ramses.n].9}.55/001",169,"control","AR","","","yes","SP3",0.642,0.642,209,134.178,134.178
"AR55","76240",1771141,899518,"{[St.Albatros.n].25-[St.Ramses.n].9}.55/001",169,"control","AR","","","yes","SP3",0.714,0.714,201,143.514,143.514
"AR55","76240",1771142,899518,"{[St.Albatros.n].25-[St.Ramses.n].9}.55/001",169,"control","AR","","","yes","SP3",0.638,0.638,199,126.962,126.962
"AR121","76240",1771143,899584,"{[St.Albatros.n].25-[St.Ramses.n].9}.121/001",170,"drought stress","AR","yes","yes","","SP2",0.424,0.424,210,89.04,89.04
