"alias","treatment_name","culture","starch_g_per_kg","tuber_FW_kg_per_plant","starch_yield_g_per_plant"
"Albatros","control","76219",241.666666666667,1.02826666666667,249.8948
"Albatros","control","76240",254.333333333333,0.755833333333333,191.971333333333
"Albatros","control","76354",183.547466666667,0.269455,49.470496963
"Albatros","control","76528",199.612462018,1.424,284.039006081892
"Albatros","control","76529",219.435,1.068,234.37748
"Albatros","drought stress","76219",188.333333333333,0.399066666666667,75.61
"Albatros","drought stress","76240",237.5,0.398666666666667,94.382
"Albatros","drought stress","76354",160.550866666667,0.0880533333333333,14.1244895723333
"Albatros","drought stress","76528",199.3507627565,1.104,220.019699847795
"Albatros","drought stress","76529",228.84,0.4034,92.297754
"AR1","control","76219",220,0.9504,209.8976
"AR1","control","76240",212.666666666667,0.714666666666667,152.496
"AR1","control","76354",185.289633333333,0.341728333333333,63.403735897
"AR1","control","76528",212.474107763,1.235,262.46966768317
"AR1","control","76529",223.615,1.1416,255.39049
"AR1","drought stress","76219",157.666666666667,0.3368,53.7474666666667
"AR1","drought stress","76240",203.611111111111,0.213333333333333,42.4294444444444
"AR1","drought stress","76354",149.749433333333,0.109073333333333,16.2810761696667
"AR1","drought stress","76528",220.3064820975,0.941,207.332557528429
"AR1","drought stress","76529",210.03,0.3034,63.674196
"AR106","control","76219",208,0.800666666666667,166.593333333333
"AR106","control","76240",221.833333333333,0.615666666666667,135.827666666667
"AR106","control","76354",169.610133333333,0.300375,50.9220862186667
"AR106","control","76528",183.9475405275,1.298,238.855477696641
"AR106","control","76529",199.575,0.9752,194.690066
"AR106","drought stress","76219",163.333333333333,0.3372,55.4429333333333
"AR106","drought stress","76240",243,0.281,67.8913333333333
"AR106","drought stress","76354",177.972533333333,0.078535,14.020595713
"AR106","drought stress","76528",198.1979134185,1.042,206.679190175852
"AR106","drought stress","76529",216.3,0.3946,84.602088
"AR121","control","76219",227.333333333333,0.738666666666667,167.428133333333
"AR121","control","76240",224.833333333333,0.807,181.826333333333
"AR121","control","76354",184.244333333333,0.271691666666667,50.2264462026667
"AR121","control","76528",205.2491324935,1.235,253.46597399621
"AR121","control","76529",193.3,1.008,195.240992
"AR121","drought stress","76219",173,0.364933333333333,63.6345333333333
"AR121","drought stress","76240",235.5,0.407,95.2836666666667
"AR121","drought stress","76354",153.233766666667,0.100148333333333,15.3470674373333
"AR121","drought stress","76528",198.0452664825,1.137,225.1556048205
"AR121","drought stress","76529",228.84,0.2716,62.250756
"AR133","control","76219",195.666666666667,1.0788,210.991066666667
"AR133","control","76240",198.666666666667,0.73,144.964
"AR133","control","76354",152.188466666667,0.233255,35.591519042
"AR133","control","76528",188.1637349815,1.6325,307.635603456555
"AR133","control","76529",171.355,1.5794,270.699324
"AR133","drought stress","76219",170,0.4048,69.8296
"AR133","drought stress","76240",197.722222222222,0.162333333333333,31.0463333333333
"AR133","drought stress","76354",129.5403,0.0886783333333333,11.3472518843333
"AR133","drought stress","76528",197.0736905045,1.326,261.3138079383
"AR133","drought stress","76529",214.21,0.447,94.555554
"AR157","control","76219",202,1.11906666666667,225.9288
"AR157","control","76240",226.166666666667,0.782,176.891333333333
"AR157","control","76354",160.202433333333,0.31987,51.227213613
"AR157","control","76528",181.11184487,1.519,275.02409083794
"AR157","control","76529",189.12,1.0188,192.675456
"AR157","drought stress","76219",188,0.496266666666667,93.2946666666667
"AR157","drought stress","76240",201.833333333333,0.287333333333333,57.4683333333333
"AR157","drought stress","76354",129.5403,0.098565,12.8480336906667
"AR157","drought stress","76528",187.1780526255,1.105,206.832273105688
"AR157","drought stress","76529",253.93,0.3494,88.531698
"AR163","control","76219",212.666666666667,0.904,193.266266666667
