"alias","treatment_name","culture","starch_g_per_kg","tuber_FW_kg_per_plant","starch_yield_g_per_plant"
"Albatros","control","67199",218.4,0.8024,178.3056
"Albatros","control","67516",219.5,1.3694,300.5938
"Albatros","control","67518",214.2096,1.611,344.713267
"Albatros","control","68015",190.1677,0.28916,54.84606234
"Albatros","drought stress","67199",244.566666666667,0.2704,65.4468
"Albatros","drought stress","67516",200.5,1.3162,264.3226
"Albatros","drought stress","67518",235.1156,0.682,160.407376
"Albatros","drought stress","68015",184.9412,0.14124,26.139199684
"AR1","control","67199",153.666666666667,0.512,80.2293333333333
"AR1","control","67516",183,0.9324,170.6292
"AR1","control","67518",204.8001,1.232,247.8976848
"AR1","control","68015",199.5754,0.30117,60.204883162
"AR1","drought stress","67199",225.5,0.182,41.17
"AR1","drought stress","67516",192,1.022,196.224
"AR1","drought stress","67518",193.3036,0.608,117.2651732
"AR1","drought stress","68015",181.8053,0.14501,26.343778118
"AR104","control","67199",229.666666666667,0.676,156.16
"AR104","control","67516",222,1.4548,322.9656
"AR104","control","67518",207.9378,1.763,367.2842394
"AR104","control","68015",190.1677,0.32261,61.467545682
"AR104","drought stress","67199",223,0.375,84.3
"AR104","drought stress","67516",227,1.5812,358.9324
"AR104","drought stress","67518",233.025,0.715,166.916012
"AR104","drought stress","68015",196.4395,0.142965,27.838196955
"AR105","control","67199",142,0.507,71.958
"AR105","control","67516",221,1.2316,272.1836
"AR105","control","67518",192.2583,1.696,324.7822672
"AR105","control","68015",147.3104,0.342375,50.575426588
"AR105","drought stress","67199",248,0.185333333333333,45.3708888888889
"AR105","drought stress","67516",209,0.9844,205.7396
"AR105","drought stress","67518",226.7532,0.667,150.6130232
"AR105","drought stress","68015",178.6694,0.14728,26.251209488
"AR106","control","67199",151.666666666667,0.672,102.796666666667
"AR106","control","67516",194,0.9236,179.1784
"AR106","control","67518",194.3489,1.57,305.1194106
"AR106","control","68015",166.1258,0.319345,52.797770197
"AR106","drought stress","67199",174.333333333333,0.32,56.8506666666667
"AR106","drought stress","67516",158,0.8156,128.8648
"AR106","drought stress","67518",222.572,0.466,103.0997344
"AR106","drought stress","68015",184.9412,0.135395,25.040113774
"AR117","control","67199",207,0.9,189.938666666667
"AR117","control","67516",186,1.324,246.264
"AR117","control","67518",176.5788,1.088,192.1177344
"AR117","control","68015",160.8993,0.30186,48.580257861
"AR117","drought stress","67199",201.555555555556,0.259333333333333,52.6884444444444
"AR117","drought stress","67516",152,1.062,161.424
"AR117","drought stress","67518",219.4361,0.483,106.0890304
"AR117","drought stress","68015",162.9899,0.146755,23.935905134
"AR118","control","67199",154,0.457,99.792
"AR118","control","67516",195,1.13,220.35
"AR118","control","67518",188.0771,1.816,340.1284962
"AR118","control","68015",155.6728,0.30607,47.700502316
"AR118","drought stress","67199",262.166666666667,0.273,71.6053333333333
"AR118","drought stress","67516",198,1.1484,227.3832
"AR118","drought stress","67518",221.5267,0.596,132.2180672
"AR118","drought stress","68015",175.5335,0.14132,24.738125677
"AR121","control","67199",177.833333333333,0.529333333333333,93.824
"AR121","control","67516",186,0.9496,176.6256
"AR121","control","67518",205.8472,1.2,247.01664
"AR121","control","68015",166.1258,0.318925,52.981670765
"AR121","drought stress","67199",219.333333333333,0.395333333333333,84.6786666666667
"AR121","drought stress","67516",177,1.1152,197.3904
"AR121","drought stress","67518",239.2968,0.634,151.5887352
"AR121","drought stress","68015",190.1677,0.160325,30.390383529
"AR122","control","67199",188.5,0.489,90.335
"AR122","control","67516",195,1.6156,315.042
"AR122","control","67518",194.3489,1.357,263.7178684
"AR122","control","68015",166.1258,0.28741,47.781840002
"AR122","drought stress","67199",173.333333333333,0.112,13.3333333333333
"AR122","drought stress","67516",206,1.3548,279.0888
"AR122","drought stress","67518",218.3908,0.519,111.0869772
"AR122","drought stress","68015",166.1258,0.13466,22.386827814
"AR123","control","67199",242,0.800666666666667,197.132
"AR123","control","67516",215,1.156,248.54
"AR123","control","67518",191.213,1.439,275.7116066
